# particle morphology
# using file: 44-05X-H.png
#
#x/µm	y/µm
-41.45852515080327	1208.9616200141838
-50.695275599636304	1208.9616200141838
-59.93202604846934	1208.9616200141838
-69.16877649730237	1218.198370463017
-78.40552694613541	1218.198370463017
-87.64227739496845	1227.43512091185
-96.87902784380147	1227.43512091185
-106.1157782926345	1236.671871360683
-115.35252874146754	1245.908621809516
-124.58927919030057	1255.145372258349
-133.8260296391336	1264.3821227071821
-143.06278008796664	1273.618873156015
-152.29953053679967	1282.8556236048482
-161.53628098563271	1292.0923740536812
-161.53628098563271	1301.3291245025143
-170.77303143446574	1301.3291245025143
-180.00978188329879	1310.5658749513473
-180.00978188329879	1319.8026254001802
-189.2465323321318	1329.0393758490134
-198.48328278096486	1338.2761262978463
-207.72003322979788	1347.5128767466795
-216.9567836786309	1356.7496271955124
-216.9567836786309	1365.9863776443456
-226.19353412746395	1375.2231280931785
-235.43028457629697	1384.4598785420114
-235.43028457629697	1393.6966289908446
-235.43028457629697	1402.9333794396775
-235.43028457629697	1412.1701298885107
-244.66703502513002	1421.4068803373436
-235.43028457629697	1430.6436307861768
-244.66703502513002	1439.8803812350097
-244.66703502513002	1449.1171316838427
-244.66703502513002	1458.3538821326758
-253.90378547396304	1458.3538821326758
-263.14053592279606	1467.5906325815088
-263.14053592279606	1476.827383030342
-272.3772863716291	1476.827383030342
-281.61403682046216	1486.0641334791749
-290.85078726929515	1486.0641334791749
-300.0875377181282	1495.300883928008
-309.32428816696125	1495.300883928008
-318.5610386157943	1495.300883928008
-327.7977890646273	1504.537634376841
-337.03453951346035	1504.537634376841
-346.2712899622934	1504.537634376841
-355.5080404111264	1504.537634376841
-364.74479085995944	1504.537634376841
-373.9815413087925	1504.537634376841
-383.21829175762554	1504.537634376841
-392.45504220645853	1504.537634376841
-401.6917926552916	1504.537634376841
-410.9285431041246	1504.537634376841
-420.1652935529577	1504.537634376841
-429.40204400179067	1504.537634376841
-438.6387944506237	1504.537634376841
-447.87554489945677	1504.537634376841
-457.11229534828976	1504.537634376841
-466.3490457971228	1504.537634376841
-475.58579624595586	1513.774384825674
-484.8225466947889	1513.774384825674
-494.0592971436219	1513.774384825674
-503.29604759245495	1523.011135274507
-512.532798041288	1523.011135274507
-521.769548490121	1523.011135274507
-531.006298938954	1523.011135274507
-540.2430493877871	1523.011135274507
-549.4797998366201	1523.011135274507
-558.7165502854532	1523.011135274507
-567.9533007342862	1523.011135274507
-577.1900511831192	1532.24788572334
-586.4268016319522	1532.24788572334
-595.6635520807853	1532.24788572334
-604.9003025296183	1532.24788572334
-614.1370529784514	1532.24788572334
-623.3738034272844	1532.24788572334
-632.6105538761175	1532.24788572334
-641.8473043249504	1532.24788572334
-651.0840547737835	1532.24788572334
-660.3208052226165	1532.24788572334
-669.5575556714496	1532.24788572334
-678.7943061202826	1532.24788572334
-688.0310565691157	1532.24788572334
-697.2678070179487	1541.4846361721732
-706.5045574667816	1541.4846361721732
-715.7413079156147	1541.4846361721732
-724.9780583644477	1541.4846361721732
-734.2148088132808	1541.4846361721732
-743.4515592621138	1541.4846361721732
