label,success,error,r0,hp,np,o,rotation
1691/36-05X-H,True,1595917.6913676024,661.4392914334102,0.053778025603472154,3,0.3362270087804414,1.025564634721513
1691/09-05X-H,True,227816.32785962938,410.41947881459583,0.07761710523120652,4,0.008532579786567037,1.135192722528178
1691/43-05X-H,True,752683.0320828152,537.0647547069958,0.14615412837684263,3,0.1800161328276848,1.123754660062898
1691/01-05X-H,True,615844.3511888532,595.540044538689,0.05557887249995152,5,0.3883687015443105,0.031953974309526914
1691/44-05X-H,True,599896.5582470946,516.5656423535927,0.08074203780474801,5,0.25731736865263327,3.830776159536332
1691/04-05X-H,True,386257.1267729553,502.0387371789042,0.08619461723788083,4,0.1616246248272207,0.07200041290609385
1691/39-05X-H,True,151218.09638307185,506.66159973991296,0.0650424173480572,3,0.039280853657210575,1.7137586182776525
1691/06-05X-H,True,410744.35246601317,583.5010268008848,0.09583075061423957,3,0.03509772271576091,4.035053823086922
1691/24-05X-H,True,232470.33131154688,442.6809947216987,0.082773965981354,3,0.08261004238593272,4.201598855807136
1691/33-05X-H,True,62224.910462270316,424.3865310196327,0.036020022275267405,5,0.09933596885235989,0.7549048221635298
1691/32-05X-H,True,89171.89686804861,427.98122885966836,0.09393415083981736,4,0.11276212682567183,0.6189754971155548
1691/34-05X-H,True,101117.06359217655,539.5761493178932,0.0536280985732944,3,0.17081870135606742,5.44142111554134
1691/28-05X-H,True,478049.6152007597,507.74875764206337,0.03903393324713618,5,0.1394606358200825,4.812363436305478
1691/21-05X-H,True,66948.23573820195,433.6078841142803,0.01657600974724676,4,0.25274720734732364,4.988807726538088
1691/10-05X-H,True,434992.6904090564,575.6098187198421,0.08886133447051764,3,0.18486239886548314,4.133473234590813
1691/31-05X-H,True,955855.7493457673,645.1019636132673,0.07631003159766384,5,0.3969265797609256,2.8690515400624355
1691/38-05X-H,True,207556.80111460143,512.4404069940107,0.021262961772475324,3,0.09363059875402063,0.640390017349556
1691/30-05X-H,True,117782.25786354665,379.0022863015581,0.09309173556627279,3,0.06806835089261419,0.6548474301194426
1691/27-05X-H,True,141232.01952885836,413.7974466438203,0.09580228758705953,3,0.20046051480515206,0.9002306417252758
1691/45-05X-H,True,864417.4642189379,519.3212804218365,0.1387089823879676,3,0.12026983385923017,5.686021156870123
1691/11-05X-H,True,430605.62460529205,519.8614055965778,0.06933545114785188,4,0.1064420648795075,3.14737316826085
1691/14-05X-H,True,176852.97606904665,414.4449382077742,0.027431046092607422,7,0.09901746096761432,5.37221145098385
1691/16-05X-H,True,996219.5182430065,630.3033935724312,0.040314770489108614,5,0.2439814144534106,3.1833917120461903
1691/51-05X-H,True,325644.22304177587,557.711634358013,0.04228409976368924,3,0.20654052913778104,5.298624410798339
1691/08-05X-H,True,290648.93850264366,468.02167284164494,0.045479844905566745,4,0.170767341358829,6.210957792874444
1691/19-05X-H,True,225930.7857802911,397.10615675720743,0.04163997541887992,4,0.19777616849458532,3.646000004560947
1691/41-05X-H,True,659031.7800931478,539.7148755455519,0.05901221757838751,3,0.2798396773992591,5.018155994257853
1691/47-05X-H,True,397742.27006003185,557.8495375360637,0.15351841180777712,3,0.0785685199474512,5.344446785816798
1691/07-05X-H,True,730419.6548059861,587.3268423316835,0.055494611056598774,3,0.17069342888698552,0.0033471846727014583
1691/50-05X-H,True,279207.80252640264,468.93556534596445,0.1697464975958254,4,0.1807377410055136,5.938283004721189
1691/03-05X-H,True,853839.7216882914,579.4352439124849,0.06303366236104663,4,0.281043133898318,3.126368452551217
1691/22-05X-H,True,370992.6381906745,553.8232287270981,0.13021084116846157,3,0.048163289095833874,5.910280238434659
1691/12-05X-H,True,64836.80929522645,354.1781243786089,0.11260439109745606,3,0.027409287157407033,1.5252861647141056
1691/26-05X-H,True,385260.40993282694,584.4164896773298,0.05893080344282999,3,0.04463326889047088,0.22933520259126927
1691/37-05X-H,True,152218.8720206689,434.08115740159826,0.05196558879038086,3,0.06903068619700656,1.039523871232945
1691/20-05X-H,True,160920.0396851037,508.42455266269616,0.04281731259458448,3,0.15105751293504052,2.0371914268157263
1691/13-05X-H,True,231275.9829954346,408.4418685689549,0.10141588663759465,3,0.161486348539633,2.1901662028025166
1691/17-05X-H,True,480102.58245883364,583.9187598803862,0.12704926395227062,3,0.0629222064682781,2.320118252670938
1691/35-05X-H,True,62361.585396071525,315.83946069730547,0.044906815486625055,4,0.17637899073503044,4.782608809002031
1691/42-05X-H,True,199107.92463541657,521.9796347429577,0.0567485121666002,3,0.13121211920233922,2.5631498810658924
1691/05-05X-H,True,1137171.9531878352,679.1299731942843,0.041067774315930776,7,0.39286656694383604,3.03852157244716
1691/23-05X-H,True,186084.04325527916,577.6950879363279,0.040745147483955496,3,0.02804865564870221,5.874246284974093
1691/18-05X-H,True,481468.71484250366,639.5501445072692,0.11174692110848035,4,0.25846839575427943,5.131072626809685
1691/40-05X-H,True,84411.34465406966,369.1272743260087,0.17061738499021142,3,0.17273240836754938,3.9766310178775957
1691/46-05X-H,True,1363446.2566944177,500.6127734325709,0.17050152448049727,3,0.24402876215394662,5.2724014099353385
1691/25-05X-H,True,192941.1004611645,429.1416600953856,0.05229543791786654,4,0.11104166079885988,1.1590208201995194
1691/49-05X-H,True,124407.940000494,453.288038092588,0.039974893518099686,3,0.10392004681529847,5.055441999119053
1691/48-05X-H,True,236314.03185297127,601.448551438054,0.048619494716766826,4,0.04058863918175665,2.0453741627588933
1691/29-05X-H,True,2591155.347974711,560.6415165442996,0.10754837394065701,5,0.21675703945416439,0.9934193479063825
