# particle morphology
# using file: 09-05X-H.png
#
#x/µm	y/µm
-4.531116249502461	421.9794003800237
-9.46542504662993	426.9137091771512
-14.399733843757398	431.84801797427866
-14.399733843757398	436.78232677140613
-19.334042640884867	436.78232677140613
-24.268351438012335	441.7166355685336
-29.202660235139803	441.7166355685336
-34.136969032267274	446.650944365661
-39.07127782939474	446.650944365661
-44.00558662652221	446.650944365661
-48.93989542364968	446.650944365661
-53.874204220777145	451.5852531627885
-58.808513017904616	451.5852531627885
-63.74282181503209	451.5852531627885
-68.67713061215956	446.650944365661
-73.61143940928702	446.650944365661
-78.54574820641449	451.5852531627885
-83.48005700354196	451.5852531627885
-88.41436580066943	451.5852531627885
-93.3486745977969	451.5852531627885
-98.28298339492436	451.5852531627885
-103.21729219205183	451.5852531627885
-108.1516009891793	451.5852531627885
-113.08590978630677	451.5852531627885
-118.02021858343424	456.51956195991596
-122.95452738056171	456.51956195991596
-127.88883617768917	451.5852531627885
-132.82314497481664	451.5852531627885
-137.7574537719441	451.5852531627885
-142.69176256907159	451.5852531627885
-147.62607136619906	446.650944365661
-152.56038016332653	441.7166355685336
-157.494688960454	436.78232677140613
-162.42899775758147	431.84801797427866
-162.42899775758147	426.9137091771512
-167.3633065547089	421.9794003800237
-172.29761535183638	417.04509158289625
-172.29761535183638	412.1107827857688
-177.23192414896386	407.1764739886413
-182.16623294609133	402.24216519151383
-182.16623294609133	397.30785639438636
-187.1005417432188	392.3735475972589
-187.1005417432188	387.4392388001314
-192.03485054034627	382.50493000300395
-196.96915933747374	377.5706212058765
-201.9034681346012	372.636312408749
-206.83777693172868	367.70200361162154
-211.77208572885615	362.76769481449406
-211.77208572885615	357.8333860173666
-216.7063945259836	352.8990772202391
-216.7063945259836	347.96476842311165
-221.64070332311107	343.0304596259842
-226.57501212023854	338.0961508288567
-231.509320917366	333.1618420317293
-231.509320917366	328.2275332346018
-236.44362971449348	323.29322443747435
-241.37793851162095	318.3589156403469
-246.31224730874843	313.4246068432194
-246.31224730874843	308.49029804609194
-251.2465561058759	303.55598924896447
-256.18086490300334	298.621680451837
-261.1151737001308	293.6873716547095
-266.0494824972583	288.75306285758205
-270.98379129438575	283.8187540604546
-275.9181000915132	278.8844452633271
