# particle morphology
# using file: 10-05x-H.png
#
#x/µm	y/µm
304.8656303963309	1528.2034754242115
294.6684928498625	1538.40061297068
284.4713553033941	1548.5977505171484
284.4713553033941	1558.7948880636168
274.2742177569257	1568.9920256100852
264.07708021045727	1579.1891631565536
253.87994266398888	1589.386300703022
243.6828051175205	1599.5834382494904
233.4856675710521	1609.7805757959588
233.4856675710521	1619.977713342427
233.4856675710521	1630.1748508888954
233.4856675710521	1640.3719884353638
223.28853002458368	1650.5691259818323
223.28853002458368	1660.7662635283007
223.28853002458368	1670.963401074769
223.28853002458368	1681.1605386212375
223.28853002458368	1691.357676167706
213.09139247811527	1701.5548137141743
213.09139247811527	1711.7519512606427
213.09139247811527	1721.9490888071111
202.89425493164688	1732.1462263535796
202.89425493164688	1742.343363900048
192.69711738517847	1752.5405014465164
192.69711738517847	1762.7376389929848
182.49997983871006	1772.9347765394532
172.30284229224168	1783.1319140859216
172.30284229224168	1793.32905163239
162.10570474577327	1803.5261891788584
151.90856719930485	1813.7233267253268
141.71142965283647	1823.9204642717953
141.71142965283647	1834.1176018182637
131.51429210636806	1844.314739364732
131.51429210636806	1854.5118769112005
131.51429210636806	1864.709014457669
131.51429210636806	1874.906152004137
131.51429210636806	1885.1032895506055
131.51429210636806	1895.300427097074
121.31715455989966	1905.4975646435423
121.31715455989966	1915.6947021900107
111.12001701343125	1925.8918397364791
111.12001701343125	1936.0889772829476
111.12001701343125	1946.286114829416
111.12001701343125	1956.4832523758844
111.12001701343125	1966.6803899223528
100.92287946696285	1976.8775274688212
100.92287946696285	1987.0746650152896
100.92287946696285	1997.271802561758
100.92287946696285	2007.4689401082264
100.92287946696285	2017.6660776546948
100.92287946696285	2027.8632152011633
90.72574192049444	2038.0603527476317
90.72574192049444	2048.2574902941
80.52860437402605	2058.4546278405683
70.33146682755765	2068.651765387037
70.33146682755765	2078.848902933505
60.134329281089244	2089.0460404799737
60.134329281089244	2099.243178026442
49.93719173462084	2109.4403155729105
39.740054188152435	2119.6374531193787
39.740054188152435	2129.8345906658474
29.542916641684034	2140.0317282123156
29.542916641684034	2150.228865758784
19.34577909521563	2160.4260033052524
19.34577909521563	2170.623140851721
9.148641548747227	2180.820278398189
9.148641548747227	2191.017415944658
-1.0484959977211754	2201.214553491126
-1.0484959977211754	2211.4116910375947
-11.245633544189579	2211.4116910375947
-21.44277109065798	2221.608828584063
-31.639908637126382	2231.8059661305315
-41.837046183594786	2242.0031036769997
-52.03418373006319	2252.2002412234683
-52.03418373006319	2262.3973787699365
-62.23132127653159	2272.5945163164047
-72.428458823	2282.7916538628733
-82.6255963694684	2282.7916538628733
-92.8227339159368	2292.9887914093415
-103.0198714624052	2303.18592895581
-103.0198714624052	2313.3830665022783
-113.2170090088736	2313.3830665022783
-123.414146555342	2323.580204048747
-133.6112841018104	2333.777341595215
-143.80842164827882	2333.777341595215
-154.0055591947472	2343.974479141684
-164.20269674121562	2354.171616688152
-174.39983428768403	2354.171616688152
-184.5969718341524	2354.171616688152
-194.79410938062082	2354.171616688152
-204.99124692708924	2354.171616688152
-215.18838447355762	2364.3687542346206
-225.38552202002603	2374.565891781089
-235.58265956649444	2374.565891781089
-245.77979711296283	2374.565891781089
-255.97693465943124	2374.565891781089
-266.1740722058996	2374.565891781089
-276.37120975236803	2374.565891781089
-286.56834729883644	2374.565891781089
-296.76548484530485	2364.3687542346206
-306.96262239177327	2364.3687542346206
-317.1597599382417	2354.171616688152
-327.35689748471003	2354.171616688152
-337.55403503117844	2343.974479141684
-347.75117257764686	2343.974479141684
-357.94831012411527	2333.777341595215
-368.1454476705837	2333.777341595215
-378.3425852170521	2323.580204048747
-388.5397227635205	2323.580204048747
-398.73686030998886	2313.3830665022783
-408.93399785645727	2303.18592895581
-408.93399785645727	2292.9887914093415
-419.1311354029257	2282.7916538628733
-419.1311354029257	2272.5945163164047
-429.3282729493941	2262.3973787699365
-439.5254104958625	2252.2002412234683
-449.7225480423309	2252.2002412234683
-459.91968558879927	2242.0031036769997
-459.91968558879927	2231.8059661305315
-470.1168231352677	2221.608828584063
-480.3139606817361	2211.4116910375947
-490.5110982282045	2201.214553491126
-500.7082357746729	2191.017415944658
-510.9053733211413	2180.820278398189
-521.1025108676097	2170.623140851721
-521.1025108676097	2160.4260033052524
-531.2996484140781	2150.228865758784
-541.4967859605465	2140.0317282123156
-551.6939235070149	2129.8345906658474
-561.8910610534833	2119.6374531193787
-572.0881985999517	2109.4403155729105
-582.2853361464201	2099.243178026442
-592.4824736928886	2089.0460404799737
-602.679611239357	2089.0460404799737
-612.8767487858254	2078.848902933505
-623.0738863322937	2068.651765387037
-633.2710238787621	2058.4546278405683
-643.4681614252305	2058.4546278405683
-653.6652989716989	2048.2574902941
-663.8624365181673	2048.2574902941
-674.0595740646357	2038.0603527476317
-684.2567116111042	2027.8632152011633
-684.2567116111042	2017.6660776546948
-694.4538491575726	2007.4689401082264
-704.650986704041	1997.271802561758
-714.8481242505094	1987.0746650152896
-725.0452617969778	1987.0746650152896
-735.2423993434462	1976.8775274688212
-745.4395368899146	1966.6803899223528
-755.6366744363829	1956.4832523758844
-765.8338119828513	1946.286114829416
-776.0309495293197	1936.0889772829476
-786.2280870757882	1936.0889772829476
-786.2280870757882	1925.8918397364791
-796.4252246222566	1915.6947021900107
-796.4252246222566	1905.4975646435423
-806.622362168725	1895.300427097074
-806.622362168725	1885.1032895506055
-816.8194997151934	1874.906152004137
-827.0166372616618	1864.709014457669
-837.2137748081302	1854.5118769112005
-847.4109123545986	1844.314739364732
-857.608049901067	1834.1176018182637
-867.8051874475354	1823.9204642717953
-878.0023249940039	1823.9204642717953
-888.1994625404722	1813.7233267253268
-888.1994625404722	1803.5261891788584
-898.3966000869406	1793.32905163239
-908.593737633409	1783.1319140859216
-918.7908751798774	1772.9347765394532
-918.7908751798774	1762.7376389929848
-928.9880127263458	1752.5405014465164
-939.1851502728142	1742.343363900048
-949.3822878192826	1732.1462263535796
-949.3822878192826	1721.9490888071111
-959.579425365751	1711.7519512606427
-959.579425365751	1701.5548137141743
-969.7765629122194	1691.357676167706
-969.7765629122194	1681.1605386212375
-979.9737004586879	1670.963401074769
-979.9737004586879	1660.7662635283007
-979.9737004586879	1650.5691259818323
-990.1708380051563	1640.3719884353638
-990.1708380051563	1630.1748508888954
-990.1708380051563	1619.977713342427
-990.1708380051563	1609.7805757959588
-990.1708380051563	1599.5834382494904
-990.1708380051563	1589.386300703022
-990.1708380051563	1579.1891631565536
-990.1708380051563	1568.9920256100852
-990.1708380051563	1558.7948880636168
-990.1708380051563	1548.5977505171484
-990.1708380051563	1538.40061297068
-990.1708380051563	1528.2034754242115
-990.1708380051563	1518.0063378777431
-990.1708380051563	1507.8092003312747
-990.1708380051563	1497.6120627848063
-990.1708380051563	1487.414925238338
-990.1708380051563	1477.2177876918695
-990.1708380051563	1467.020650145401
-990.1708380051563	1456.8235125989327
-990.1708380051563	1446.6263750524643
-990.1708380051563	1436.4292375059958
-1000.3679755516247	1426.2320999595274
-1000.3679755516247	1416.034962413059
-1000.3679755516247	1405.8378248665906
-1000.3679755516247	1395.6406873201222
-1000.3679755516247	1385.4435497736538
-1010.5651130980931	1375.2464122271854
-1010.5651130980931	1365.049274680717
-1010.5651130980931	1354.8521371342486
-1010.5651130980931	1344.6549995877804
-1010.5651130980931	1334.457862041312
