# particle morphology
# using file: err/02-05X-H.png
#
#x/µm	y/µm
227.29780341530642	1408.1522965387667
218.05141203290069	1408.1522965387667
208.80502065049492	1408.1522965387667
199.5586292680892	1408.1522965387667
190.31223788568343	1408.1522965387667
181.0658465032777	1408.1522965387667
171.81945512087194	1408.1522965387667
162.5730637384662	1408.1522965387667
153.32667235606047	1417.3986879211723
144.0802809736547	1417.3986879211723
134.83388959124898	1417.3986879211723
125.58749820884321	1417.3986879211723
116.34110682643748	1426.645079303578
107.09471544403173	1426.645079303578
97.84832406162599	1426.645079303578
88.60193267922024	1426.645079303578
79.3555412968145	1426.645079303578
70.10914991440875	1426.645079303578
60.86275853200301	1435.891470685984
51.61636714959726	1435.891470685984
42.36997576719151	1445.1378620683895
33.123584384785765	1454.3842534507953
23.87719300238002	1463.6306448332011
14.630801619974278	1463.6306448332011
5.384410237568532	1463.6306448332011
-3.861981144837213	1463.6306448332011
-13.108372527242958	1463.6306448332011
-22.354763909648703	1463.6306448332011
-31.60115529205445	1463.6306448332011
-40.8475466744602	1472.8770362156067
-50.09393805686594	1472.8770362156067
-59.340329439271684	1472.8770362156067
-68.58672082167743	1482.1234275980125
-77.83311220408318	1482.1234275980125
-87.07950358648893	1482.1234275980125
-96.32589496889467	1482.1234275980125
-105.5722863513004	1482.1234275980125
-114.81867773370615	1491.3698189804184
-124.0650691161119	1491.3698189804184
-133.31146049851765	1491.3698189804184
-142.55785188092338	1500.616210362824
-151.80424326332914	1509.8626017452298
-161.05063464573487	1509.8626017452298
-170.29702602814064	1519.1089931276356
-179.54341741054637	1519.1089931276356
-188.78980879295213	1528.3553845100412
-198.03620017535786	1528.3553845100412
-207.28259155776362	1528.3553845100412
-216.52898294016936	1528.3553845100412
-225.7753743225751	1528.3553845100412
-235.02176570498085	1528.3553845100412
-244.26815708738658	1528.3553845100412
-253.51454846979235	1528.3553845100412
-262.7609398521981	1528.3553845100412
-272.00733123460384	1537.601775892447
-281.2537226170096	1537.601775892447
-290.5001139994153	1537.601775892447
