label,success,error,r0,hp,np,o,rotation
1698/36-05X-H,True,18433283.156683143,1672.588260748145,0.16593683811976095,4,0.2562896719948359,1.2542687482784347
1698/09-05X-H,True,3148672.224303108,1548.4477604665722,0.09387634128805261,3,0.15256616626616756,0.25856187718775087
1698/43-05X-H,True,14992406.54282769,1681.8551708268544,0.22282474004403138,4,0.5421963499049839,5.004607897692564
1698/01-05X-H,True,6086246.198806253,1561.6374344777396,0.06670381391395493,3,0.2016168127632383,3.4927680344953864
1698/44-05X-H,True,5388676.151469872,1950.133018716114,0.04672721173571903,5,0.18796590082069603,6.234251484152644
1698/04-05X-H,True,5630334.308271139,1568.7972163502825,0.08567382575442756,3,0.059120874987874675,5.112716473164816
1698/39-05X-H,True,25664672.443751857,1810.5589089612556,0.13918518920204828,3,0.09124075398884136,3.3129810438697715
1698/06-05X-H,True,9833433.875721734,1604.4411168229835,0.17034420401291914,3,0.10479864423882251,3.627530938973068
1698/24-05X-H,True,5301118.740683082,1706.7046863767355,0.19645573382462536,3,0.058385972339681055,0.1125759861922765
1698/33-05X-H,True,2460846.4090109733,1902.6185969097378,0.01704137634623812,6,0.23502543021707945,0.32625957936656214
1698/32-05X-H,True,793087.198139143,1377.5673194982828,0.04897778931252826,3,0.02955860249084421,1.639619496609166
1698/34-05X-H,True,3423116.9197500646,1737.3506931636816,0.13606605371710656,3,0.1776374472989625,1.1411836877821262
1698/15-05X-H,True,11172602.805638298,1722.3719655119933,0.1203968450845401,3,0.11988922363572417,0.3323694772299836
1698/28-05X-H,True,24327868.442779988,1997.0412772490934,0.13590539399997778,4,0.4701000282636682,3.650188548752223
1698/21-05X-H,True,1361908.0407262426,1698.8390566702749,0.07062014166884772,4,0.29395398705801445,0.2797073599488528
1698/10-05X-H,True,34875453.11060284,1504.2845879900772,0.17134006474147917,5,0.22308226297944753,5.817363599760964
1698/31-05X-H,True,2115207.9823576673,1714.6548545858268,0.045639975618564366,4,0.05303256457215622,4.1853433478305515
1698/38-05X-H,True,17989456.800365128,1695.5411281897493,0.04532997505017818,5,0.34721999237341195,4.432129820040934
1698/30-05X-H,True,12411162.45043227,1739.8580211239218,0.08470812865081821,4,0.28603923394097663,5.989593078346838
1698/02-05X-H,True,4691016.865999444,1621.681632110901,0.014334330759715012,5,0.1251313205428111,3.3283496585279186
1698/27-05X-H,True,8502238.177873593,1937.8642802873205,0.0040075824746413505,3,0.14745611155817548,2.3788734655693498
1698/45-05X-H,True,10442477.091685161,1910.8567015703006,0.05053105256965382,4,0.1990507239027294,5.249208440539032
1698/14-05X-H,True,39288747.487439096,1871.0995904055198,0.12715376980378798,4,0.39664646957755073,5.216578069083771
1698/16-05X-H,True,4291386.791025362,1491.0444476625973,0.12086173946592398,3,0.07779121507965722,3.6353726482471136
1698/51-05X-H,True,4081031.720685083,1744.8732576515629,0.05172558614938497,3,0.11303169874171375,6.245134869317145
1698/08-05X-H,True,7051805.301962071,1852.5937241806137,0.06236264969485843,3,0.10719624456985767,1.8086518640190907
1698/19-05X-H,True,2590917.1424368354,1512.3110869980164,0.1405087381317425,3,0.028826958218300752,2.732272525271072
1698/41-05X-H,True,4008737.0051598805,1596.2059389847311,0.0792550829829842,5,0.08288999022348689,4.670166773081462
1698/47-05X-H,True,11784527.532387085,2156.381594694924,0.1553630303129228,4,0.34235234917841917,4.422453900819444
1698/07-05X-H,True,4910127.578836536,1782.7787762279193,0.06556338085571171,4,0.12564826778260846,0.8982816534152639
1698/50-05X-H,True,3120178.1918363865,1626.3323479528954,0.10417705548005858,3,0.11055634253562231,3.1831582114507615
1698/03-05X-H,True,7617355.353453594,1865.359697264012,0.010149413502023367,7,0.2758480783819161,6.248013553899968
1698/22-05X-H,True,2627669.2393512647,1641.0608524318848,0.11245997493193138,3,0.15580299214773002,1.2018333056324353
1698/12-05X-H,True,3631266.3561683064,1652.6171247524437,0.082227192121076,4,0.13336510379423522,5.500390297784561
1698/37-05X-H,True,13906209.277826404,1713.5669737136163,0.11859101400350612,3,0.23614635688228694,2.803934236402203
1698/20-05X-H,True,1782844.4492284525,1483.8865475627617,0.10736045147218727,3,0.051526146894406405,5.697036804796107
1698/13-05X-H,True,1629328.8595102876,1574.4501434630743,0.050369580307334225,4,0.08356019491697282,0.7092541050109966
1698/17-05X-H,True,6704190.922460162,1674.8437370969048,0.05912136717889318,3,0.15705609308884108,3.0011646781725934
1698/35-05X-H,True,2254598.1100687925,1547.6441750308475,0.1646974058712663,3,0.07832691182044973,0.443405056608303
1698/05-05X-H,True,4598425.926944951,1532.7861902963018,0.11888580443689521,3,0.173594501367186,0.4106209561562306
1698/23-05X-H,True,3142916.671499493,1529.2559432372545,0.04234011024935211,5,0.13765921405020115,4.894488106025272
1698/18-05X-H,True,3175078.906499319,1531.4353207305978,0.09459478890405551,3,0.14401250883364955,5.6563177773324655
1698/40-05X-H,True,4505077.5631226795,1689.3996910488602,0.06870725377750687,3,0.23369067746084396,1.940090981422282
1698/46-05X-H,True,10145433.856816215,1998.2789222949198,0.052108429831294864,3,0.2077877898541838,2.1811124341091164
1698/25-05X-H,True,6553052.811879135,1675.5812218077167,0.08307720286561548,4,0.09593290345867933,3.3245359122400764
1698/49-05X-H,True,15284932.133902716,1990.729614452135,0.172529918950275,4,0.4103058951392839,4.071032369947207
1698/48-05X-H,True,31082518.887007643,1886.3036834416998,0.0973224725532747,4,0.33291723268694895,0.9750735128552069
1698/29-05X-H,True,17043357.965651963,1865.0865806704187,0.12592699482533104,3,0.4494561257632931,4.61041107412386
